farm_id,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,worldcereal_cropland,worldcereal_irrigated
1,0.4015311519282011,0.1538832978749313,0.10346617265858454,0.04245974356403727,0.2872482416553664,0.7712185379084664,100,0
2,0.250824206834303,0.08701539089059075,0.07650621400749484,0.1880200883877398,0.6152394876752735,0.7831188389301416,100,0
3,0.27733925000654874,0.1131089967775222,0.072263101402492,0.1862289316029033,0.3585733227097653,0.8234477257738029,100,0
4,0.34781991726710015,0.12876289369032007,0.10957321608231782,0.2076815492021044,0.18900606374922632,0.8143970780371653,100,0
5,0.29881493863397457,0.09622530337937989,0.06293221756579838,0.030086797335474667,0.4028016532054869,0.8451359995099115,100,0
6,0.3279788163735197,0.09638622269975045,0.08074252552602967,0.08477854328705069,0.37804346195211297,0.8639154161762572,100,0
7,0.35039277516066597,0.10138518342353742,0.09080935209178603,0.1843348355356222,0.23320757072327197,0.7930931500513514,100,0
8,0.39108113025164704,0.14229199346932744,0.12045413644309809,0.10131375861616931,0.4433190026030365,0.8052547980813726,100,0
9,0.4079533681763367,0.16776332781481798,0.18271357574942865,0.221482643406201,0.40167514556013145,0.6813095314904344,100,0
10,0.3006271166674113,0.12770934219263866,0.13613394133061701,0.18505681540646604,0.5171380861360333,0.7905002549349928,100,0
11,0.5088832537139985,0.1777204161039752,0.11910947982027441,0.38529440561192724,0.5321940958640551,0.5784633953024845,100,0
12,0.45839726727227664,0.23323048492237305,0.27989239430496865,0.5517598149090189,0.4359657370834804,0.44298474014309364,100,0
13,0.47935794138147425,0.14448729184164313,0.18676491722983016,0.3010044378360286,0.4481029160967024,0.6190740585529726,100,0
14,0.4152440388688608,0.16319776311795234,0.15157909167457478,0.2730019230121723,0.3760689468001187,0.7190623550471078,100,0
15,0.29599491594548466,0.13240344903599896,0.10869341932748866,0.1003856323843067,0.29866288287274906,0.768193811237445,100,0
16,0.2370892544139469,0.08962635413097426,0.07191376832890242,0.2431814507861551,0.5830948256684307,0.7805269043170642,100,100
17,0.2948027498687974,0.11725099805981631,0.10348680381096377,0.4284631425007313,0.6861977852956063,0.6929300766471775,100,0
18,0.4428737766440726,0.14606843294555513,0.11643646002696521,0.1199883137363421,0.46732909158466607,0.8032118772763105,100,0
19,0.6671526577853835,0.306714994618051,0.1374079531057734,0.26390746203903054,0.6750261400237202,0.7704300484783113,100,0
