point_id,district,hist_mean_ndvi,hist_std_ndvi
0,Khuzdar,0.2560469132316958,0.033768030575140884
1,Khuzdar,0.18853064182194623,0.04766928087690847
2,Khuzdar,0.19759047619047618,0.030143590309736967
3,Khuzdar,0.11946066252587993,0.01804319755705676
4,Khuzdar,0.12198592132505175,0.02534787945918276
5,Khuzdar,0.24751759834368534,0.04556242641311217
6,Khuzdar,0.2814844720496894,0.032463813726623346
7,Khuzdar,0.20052650103519665,0.019908334218742413
8,Khuzdar,0.15572298136645962,0.03876237649067812
9,Khuzdar,0.18625942028985504,0.02521202092930836
10,Khuzdar,0.21405983436853007,0.03367279585203534
11,Khuzdar,0.12738198757763974,0.01106137789742657
12,Khuzdar,0.1991958592132505,0.030273326945989616
13,Khuzdar,0.12467225672877845,0.012662053692109066
14,Khuzdar,0.15099171842650103,0.02090446064261846
15,Khuzdar,0.2823701863354038,0.019075561206710664
16,Khuzdar,0.16960393374741198,0.02438443494845565
17,Khuzdar,0.22232173913043476,0.027174648172251098
18,Khuzdar,0.13877556935817809,0.01603104078243737
19,Khuzdar,0.1601486542443064,0.03010394189644686
20,Khuzdar,0.1067113871635611,0.013400806937128421
21,Khuzdar,0.20232525879917185,0.0490860443412037
22,Khuzdar,0.1926337474120083,0.052789974568069165
23,Khuzdar,0.160472049689441,0.034305551141003435
24,Khuzdar,0.2002055900621118,0.022464595088345675
25,Khairpur,0.32473540372670806,0.05198042281034116
26,Khairpur,0.24964368530020703,0.03413502158194493
27,Khairpur,0.42375797101449275,0.030753171650052476
28,Khairpur,0.2972242236024845,0.02096568588970268
29,Khairpur,0.353524402409185,0.0398930779349913
30,Khairpur,0.30440869565217393,0.04096401869027464
31,Khairpur,0.2088207039337474,0.02007767829531235
32,Khairpur,0.37180186335403725,0.041214407614736485
33,Khairpur,0.23816252587991724,0.05433772135422948
34,Khairpur,0.4172710144927536,0.035991561291114256
35,Khairpur,0.24881801242236026,0.029024545728101835
36,Khairpur,0.5269718426501036,0.04595396491080566
37,Khairpur,0.3397784679089027,0.03577165598372271
38,Khairpur,0.49097598343685306,0.03588282303752306
39,Khairpur,0.36892753623188407,0.030276498972207848
40,Khairpur,0.4356225672877847,0.039858265649285185
41,Khairpur,0.34845569358178047,0.027426173527549374
42,Khairpur,0.40206687370600414,0.05771551929489144
43,Khairpur,0.36011966873706003,0.01584261994587933
44,Khairpur,0.35236252587991723,0.04763606599485337
45,Khairpur,0.38596853002070397,0.04933814435912063
46,Khairpur,0.38546604554865427,0.025301698566398294
47,Khairpur,0.42987018633540375,0.022830758480294283
48,Khairpur,0.45572505175983447,0.022071504796458172
49,Khairpur,0.5143165631469979,0.018170139712450233
50,Mansehra,0.45128612836438914,0.027995363272936665
51,Mansehra,0.4699610766045548,0.02394603357628986
52,Mansehra,0.49960165631469977,0.015557339197618555
53,Mansehra,0.4919331262939959,0.03834685433894583
54,Mansehra,0.5207749482401657,0.024629447055596044
55,Mansehra,0.40194327122153206,0.02049078518236687
56,Mansehra,0.44092256728778473,0.03812313705998386
57,Mansehra,0.49890517598343675,0.023389740441193504
58,Mansehra,0.20090493130058348,0.039999670977647714
59,Mansehra,0.4774155279503105,0.029779562207502795
60,Mansehra,0.46178012422360254,0.019166487793459835
61,Mansehra,0.37399254658385095,0.0472977123425622
62,Mansehra,0.49434575569358197,0.028481235083068407
