point_id,district,modis_current_ndvi
0,Khuzdar,0.2936913043478261
1,Khuzdar,0.3139391304347826
2,Khuzdar,0.2609391304347826
3,Khuzdar,0.16591739130434782
4,Khuzdar,0.21341304347826087
5,Khuzdar,0.3311608695652174
6,Khuzdar,0.34148260869565217
7,Khuzdar,0.22610000000000002
8,Khuzdar,0.2666217391304348
9,Khuzdar,0.26678695652173917
10,Khuzdar,0.27064347826086954
11,Khuzdar,0.1676304347826087
12,Khuzdar,0.23679565217391307
13,Khuzdar,0.17625652173913042
14,Khuzdar,0.17147391304347825
15,Khuzdar,0.3020478260869565
16,Khuzdar,0.20345652173913042
17,Khuzdar,0.2944695652173913
18,Khuzdar,0.15918260869565218
19,Khuzdar,0.24737826086956521
20,Khuzdar,0.19747391304347825
21,Khuzdar,0.3375173913043479
22,Khuzdar,0.3828086956521739
23,Khuzdar,0.28241304347826085
24,Khuzdar,0.1919391304347826
25,Khairpur,0.36053478260869565
26,Khairpur,0.3314130434782609
27,Khairpur,0.4156
28,Khairpur,0.2982565217391305
29,Khairpur,0.39150869565217394
30,Khairpur,0.35451304347826085
31,Khairpur,0.1726434782608696
32,Khairpur,0.2543
33,Khairpur,0.3219782608695652
34,Khairpur,0.2615
35,Khairpur,0.2443304347826087
36,Khairpur,0.5082434782608696
37,Khairpur,0.46103478260869574
38,Khairpur,0.5169826086956523
39,Khairpur,0.37643043478260874
40,Khairpur,0.468
41,Khairpur,0.38270000000000004
42,Khairpur,0.49755652173913045
43,Khairpur,0.3423304347826087
44,Khairpur,0.4196782608695652
45,Khairpur,0.43846521739130434
46,Khairpur,0.3991869565217392
47,Khairpur,0.4428608695652174
48,Khairpur,0.4392434782608696
49,Khairpur,0.5154608695652174
50,Mansehra,0.4656173913043478
51,Mansehra,0.4806826086956522
52,Mansehra,0.49766086956521743
53,Mansehra,0.5243739130434784
54,Mansehra,0.5252086956521739
55,Mansehra,0.3953304347826087
56,Mansehra,0.467104347826087
57,Mansehra,0.5357000000000001
58,Mansehra,0.14276666666666668
59,Mansehra,0.4960086956521739
60,Mansehra,0.48665652173913043
61,Mansehra,0.4085695652173913
62,Mansehra,0.546495652173913
63,Mansehra,0.5099434782608696
64,Mansehra,0.5536217391304348
65,Mansehra,0.45852608695652175
66,Mansehra,0.5146217391304349
67,Mansehra,0.4831608695652174
68,Mansehra,0.47396086956521744
69,Mansehra,0.5073739130434783
70,Mansehra,0.45401304347826094
71,Mansehra,0.4713478260869565
72,Mansehra,0.48715652173913043
