point_id,district,ndvi_peak_value,ndvi_peak_month,ndvi_trough_value,ndvi_trough_month,ndvi_green_up_slope,ndvi_senescence_slope,ndvi_annual_mean,ndvi_annual_std,ndwi_peak_value,ndwi_peak_month,ndwi_trough_value,ndwi_trough_month,ndwi_green_up_slope,ndwi_senescence_slope,ndwi_annual_mean,ndwi_annual_std,evi_peak_value,evi_peak_month,evi_trough_value,evi_trough_month,evi_green_up_slope,evi_senescence_slope,evi_annual_mean,evi_annual_std
0,Shigar,0.4215030340749961,9,0.0578806767586821,5,0.08070512988921881,-0.04506948715723239,0.18025259487193054,0.11746739819130851,-0.11496949788831534,5,-0.42962369895916735,10,0.017824153490087924,-0.033745691848698585,-0.23266666652631676,0.1005335865317521,1.0325506937033084,9,0.18529076396807298,5,0.14575344561507833,-0.11678270227282495,0.496633221769583,0.28603460359072125
1,Shigar,0.8296552981944191,6,0.04194260485651214,3,0.20854757371476842,-0.13703968008910467,0.2665015173878723,0.277155418893552,-0.03793293018141836,3,-0.7578412475906782,6,0.04076092292248237,-0.1357747427892512,-0.2882609269964928,0.22811541395229987,3.4234234234234235,3,0.1619718309859155,9,1.0595574478080259,-0.6324820481725844,1.0860264935038273,1.107108100693355
2,Shigar,0.8295417437683683,7,0.0741392309625534,0,0.1416950240022528,-0.0845772265059711,0.42289479743013636,0.26672598215570803,-0.1476906552094522,0,-0.711260435756465,7,,-0.014917329954923933,-0.4076217645841407,0.20176254619581757,3.4156148208469057,6,0.28612997090203685,0,0.8579700964513224,-0.6068025107870536,1.3946718752269966,0.9744513720919659
3,Shigar,0.670308327263899,8,0.12271227122712271,3,0.08073737907254303,-0.09207502098252235,0.33436886960868756,0.18755601206163663,-0.20438292964244523,4,-0.572930955647005,8,0.006499713675871331,-0.06965229991285203,-0.3607112350809962,0.12998755737313952,6.766275346851654,7,0.2512197653898059,1,1.9457076115952479,-1.749914881092993,1.4270102335219734,1.7783476372625848
4,Shigar,-0.033632286995515695,6,-0.5042613636363636,2,0.08910794559198389,-0.01051409963939017,-0.24275466486419883,0.16209136996525877,0.5517019910083494,2,0.03151943462897527,7,0.03521908795470733,-0.08086694720513611,0.2502784602473928,0.18477209280343537,34.23076923076923,1,-1.2821512081060016,5,8.523001508295627,-10.609201408044276,4.248870408626618,9.569218625417639
5,Shigar,0.6426485824620891,9,0.057569296375266525,3,0.06553457949690289,-0.12086179647186833,0.28179978262636374,0.21384579577938279,-0.10887547507265817,3,-0.5814290895901342,9,0.012724925686960889,-0.09455385227090235,-0.31455261505884474,0.16495630810177428,2.7049431992631257,6,0.17767153378989534,1,0.7145637989328099,-0.5399253401892515,0.8142348527815887,0.7348981546629778
6,Shigar,0.744944283945522,6,0.058326289095519866,3,0.18667933774925127,-0.05301520356403585,0.34364970581221116,0.2512201920482269,-0.09985358711566618,3,-0.659666339548577,6,0.02455391223480582,-0.0974011766346742,-0.35148513642963336,0.20087747103233417,2.269298466180538,6,0.2871012482662968,3,0.512845657203338,-0.2465517549132156,1.0096221818479356,0.6801163395859081
7,Shigar,0.6485244315432994,9,0.07946210268948656,4,0.06511062520846517,-0.062393551896460474,0.31352075041253147,0.2124656276071323,-0.14869259789254585,4,-0.5653163404642695,10,0.00344113601686305,-0.05381657397399966,-0.31831083895237516,0.15828863794997447,3.8550724637681157,11,0.21064524227968867,1,0.6963927047730447,,1.3095587509332216,1.0707621865340624
8,Shigar,0.7218895542248835,9,0.05225225225225225,3,0.13295570577727459,-0.12962300648716232,0.26861341999702687,0.19132945630605527,-0.06530463334549434,3,-0.6473583704646722,9,0.05187428338778821,-0.049398806297017706,-0.29556504864694194,0.160908602694327,4.453900709219858,7,0.3042179917879806,1,1.301998134065558,-1.0228781797940234,1.1793213870655919,1.1363296075446392
9,Shigar,0.7781659388646288,7,0.07483676544450026,3,0.16418495535219715,-0.08072733534953558,0.3425247300143694,0.23184779764668378,-0.09575012800819252,3,-0.676410045286126,7,0.03228549133740033,-0.0636346566227949,-0.34665738580762434,0.19296386362057202,2.0825055510108683,7,0.345171588188348,1,0.2892534597324304,-0.24180115563406082,1.0895355886042415,0.5533224367235915
10,Shigar,0.7460698689956332,9,0.05392156862745098,6,0.17081182119188568,-0.142849675481224,0.24115165134070793,0.22696572916225885,-0.10614035087719298,4,-0.6204660587639311,9,0.013570931991984623,-0.011332888279078681,-0.25673806345676825,0.17137505469650557,2.141111598471082,9,0.21678436524880934,6,0.4061553071025433,-0.43662464884653635,0.7812412194006952,0.6889337476761924
11,Shigar,0.7924376508447305,6,0.0811965811965812,2,0.18705946351577718,-0.0690517946586144,0.37970306277929106,0.27030665271490084,-0.13126796550622805,2,-0.698170731707317,6,0.028374893013360474,-0.03674766307472004,-0.3790173166464859,0.2043601918845713,2.370352544820118,6,0.2447080018015313,1,0.4593861920442069,-0.24900204002887136,1.1883022921336426,0.8049663348359608
12,Shigar,0.5707607309817254,7,0.06518980039229261,4,0.11717233948028549,-0.0709018697686981,0.23656440159609796,0.16740409173957296,-0.12857142857142856,3,-0.49817592217267936,7,0.015735556834194364,-0.03910066862692762,-0.27597147832365304,0.12428566982105971,1.9767441860465116,7,0.17978743715394896,4,0.41438058603833455,-0.35494306671997294,0.6949182975085116,0.545378610035706
13,Shigar,0.7888400535065928,7,0.05217391304347826,3,0.1355144987348849,-0.13456748119573594,0.3170712374474363,0.253881259305831,-0.07961564859299931,3,-0.7096155602228107,7,0.038086482008231955,-0.1060001507881675,-0.3555085624974354,0.19890212780716485,2.3760228118026285,6,0.23985908926073668,1,0.653137568524557,-0.3048531830758931,0.8548778751830355,0.742348641124842
14,Shigar,0.8624762708289391,7,0.11829165495925822,3,0.14302363863353246,-0.08395949944228742,0.43308391596110657,0.25043599834236197,-0.1880597014925373,3,-0.7870876340821696,7,0.028935811166444985,-0.07759234351037281,-0.45403347728582927,0.2003154000068094,2.880591497227357,6,0.3556707101637027,1,0.7053332230391388,-0.3918404872533274,1.2270009943099127,0.7372817650322111
15,Azad Kashmir,0.7459487715629901,10,0.39287083173629744,2,0.04992310535451635,-0.000391431371748463,0.5683867205584289,0.11176042591626068,-0.4134577985219759,2,-0.6716732542819499,11,0.049185843083008086,-0.04561717919645475,-0.5595711674477575,0.07038963405703473,1.913125083791393,10,0.7945929768555466,7,0.15381387205580258,-0.0005918545820735588,1.3694265690641425,0.3998785970740432
16,Azad Kashmir,0.792820955050124,8,0.22540620384047266,6,0.17423726420842076,-0.08990684535137998,0.5355603200286744,0.20119766019163773,-0.2784607161945484,7,-0.6739912105473432,3,0.06603798469360213,-0.1037287057421411,-0.5227136915010532,0.13219623749524226,2.37825777662808,8,0.4066297164783628,6,0.6199922151867393,-0.3408060612112745,1.2590798809404726,0.6066312252458662
17,Azad Kashmir,0.7558931377684651,9,0.32624651986838776,6,0.1261000727406458,-0.03745399469125928,0.4898697190876216,0.1342919312109237,-0.40451293340671435,7,-0.6660039761431411,9,0.022929209561681818,-0.06462768771685452,-0.515089829755123,0.08097532996677972,1.8293610547667343,9,0.6297635333203049,6,0.37208884041843665,-0.10226863445298662,1.0338511585670742,0.3903253773026968
18,Azad Kashmir,0.726741431053546,2,0.2949061662198391,11,0.04998404095257033,-0.04903863595654612,0.551702086259325,0.16760452795148773,-0.37983281086729365,7,-0.6746394653534998,3,0.03455398225659959,-0.07383504702848988,-0.5365134905395231,0.10426703618765873,2.0803140096618358,9,0.5207100591715976,11,0.3428846948711724,-0.33814922358061805,1.3510525239577567,0.5423625458707182
19,Azad Kashmir,0.8064183528805259,9,0.26635001826817684,1,0.11864375295045798,-0.07869495738985795,0.49052000810348645,0.17152656511029352,-0.38032656312226204,1,-0.6605113636363636,5,0.02408134596383203,-0.0445784201520387,-0.5341387710630321,0.08749915005691604,2.311073354509862,9,0.4995821893279217,2,0.48315024022255343,-0.3660819687617544,1.041258458707143,0.5068678278328299
20,Azad Kashmir,0.8171126139370773,4,0.42203583682805945,0,0.09093122290626843,-0.07801507950949382,0.6030581164663033,0.12708357332330472,-0.47374239911553345,7,-0.7290386033931645,8,0.06147468736989028,-0.0573448309937161,-0.5806290349523688,0.0838755284845357,2.3398479913137895,9,0.7839754648265287,7,0.3517335395918732,-0.331595538297468,1.4548042398253596,0.4453288986549139
21,Azad Kashmir,0.5981094679066931,4,0.2968349016253208,10,0.07017339709363203,-0.05199815079246334,0.4286733598348622,0.09692287125312996,-0.24262295081967214,10,-0.5743466506458396,4,0.07399398173621245,-0.07881979012263741,-0.4407881477065705,0.0769366094537159,1.3613991337445859,8,0.5710377298466629,0,0.13012170752839392,-0.1213596858300815,0.9746984580785844,0.2578812139558249
22,Azad Kashmir,0.803102247546692,8,0.26465364120781526,7,0.1570983935071866,-0.07252203680286091,0.5788708022418734,0.19516862038985772,-0.3622163277335691,6,-0.7009054011863878,3,0.09276383891713126,-0.06819703617814904,-0.5716775856029,0.119741906631426,2.2198565011958236,8,0.4331755129163552,7,0.550589720915589,-0.3213427915729827,1.261180588001895,0.5779887998459654
