district,date,hazard,hazard_flag,hazard_confidence,crop,crop_stage,vulnerability_weight,crop_weight,interim_confidence_multiplier,exposure_score_before_confidence_discount,exposure_score,agronomically_plausible,crop_mix_source,crop_mix_share_of_4crop_area,lat,lon
Matiari,20260713,fog,True,0.75,cotton,flowering,0.3,0.2141,0.428,0.0482,0.0206,True,model_estimated_interim,0.21414042090820187,25.8206183400661,68.41778750435569
Kasur,20260714,frost,True,0.52,cotton,flowering,0.9,0.1028,0.428,0.0481,0.0206,True,model_estimated_interim,0.10277572063868357,31.031981126992218,74.0671594418965
Matiari,20260828,fog,True,0.75,cotton,flowering,0.3,0.2141,0.428,0.0482,0.0206,True,model_estimated_interim,0.21414042090820187,25.8206183400661,68.41778750435569
Sialkot,20260623,uv_index,True,0.55,rice,establishment,0.4,0.3514,0.264,0.0773,0.0204,True,model_estimated_interim,0.35141631360943604,32.424270516378186,74.52050975811137
Matiari,20260623,uv_index,True,0.55,cotton,vegetative,0.4,0.2141,0.428,0.0471,0.0202,True,model_estimated_interim,0.21414042090820187,25.8206183400661,68.41778750435569
Matiari,20260829,uv_index,True,0.55,cotton,flowering,0.4,0.2141,0.428,0.0471,0.0202,True,model_estimated_interim,0.21414042090820187,25.8206183400661,68.41778750435569
Matiari,20260829,uv_index,True,0.55,cotton,flowering,0.4,0.2141,0.428,0.0471,0.0202,True,model_estimated_interim,0.21414042090820187,25.8206183400661,68.41778750435569
Matiari,20260829,uv_index,True,0.55,cotton,flowering,0.4,0.2141,0.428,0.0471,0.0202,True,model_estimated_interim,0.21414042090820187,25.8206183400661,68.41778750435569
Tando Allahyar,20260623,uv_index,True,0.55,cotton,vegetative,0.4,0.2073,0.428,0.0456,0.0195,True,model_estimated_interim,0.20725525665757996,25.440386667031124,68.78524324414445
Tando Allahyar,20260829,uv_index,True,0.55,cotton,flowering,0.4,0.2073,0.428,0.0456,0.0195,True,model_estimated_interim,0.20725525665757996,25.440386667031124,68.78524324414445
Tando Allahyar,20260829,uv_index,True,0.55,cotton,flowering,0.4,0.2073,0.428,0.0456,0.0195,True,model_estimated_interim,0.20725525665757996,25.440386667031124,68.78524324414445
Tando Allahyar,20260829,uv_index,True,0.55,cotton,flowering,0.4,0.2073,0.428,0.0456,0.0195,True,model_estimated_interim,0.20725525665757996,25.440386667031124,68.78524324414445
Haripur,20260827,flood_risk,True,0.5612,rice,flowering,0.9,0.1451,0.264,0.0733,0.0194,True,model_estimated_interim,0.14514500066988298,34.0316,72.8525
Narowal,20260623,uv_index,True,0.55,rice,establishment,0.4,0.3283,0.264,0.0722,0.0191,True,model_estimated_interim,0.3282575811750626,32.2214987460121,74.89358932244859
