stamp,date,local_hour,lat,lon,night_fog_diff,nfd_local_bg,nfd_anomaly,cloud_proxy,label_real_fire_nearby
20211103_1227,20211103,17,35.5,62.0,-0.47,8.828569599999991,-9.298569599999992,0.145,False
20211108_1227,20211108,17,21.0,69.25,3.668,1.212814117647062,2.4551858823529384,0.227,False
20211101_1227,20211101,17,30.0,71.75,-7.226,-4.894842610364684,-2.331157389635316,0.124,True
20211105_0227,20211105,7,38.25,70.5,-1.93,15.958234449760766,-17.888234449760766,0.534,False
20211106_1227,20211106,17,39.0,72.0,-3.423,-5.184838056680162,1.761838056680162,0.509,False
20211107_0227,20211107,7,27.5,68.75,11.701,10.394097599999997,1.3069024000000038,0.105,True
20211108_0227,20211108,7,20.75,70.5,31.9,26.448637499999982,5.451362500000016,0.338,False
20211108_0227,20211108,7,34.75,56.5,-5.206,-3.0089157894736824,-2.197084210526318,0.313,False
20211103_1227,20211103,17,26.25,66.25,-2.247,-3.4567119999999907,1.2097119999999908,0.0,True
20211114_0227,20211114,7,36.5,65.0,-2.493,-0.9281072000000007,-1.564892799999999,0.481,False
20211107_0227,20211107,7,34.5,56.5,-4.459,-1.1986273684210522,-3.2603726315789476,0.562,False
20211106_1227,20211106,17,21.5,71.0,14.858,7.340141052631579,7.517858947368421,0.842,False
20211101_1227,20211101,17,28.0,68.0,-4.533,-3.7888848000000013,-0.7441151999999991,0.011,True
20211112_1227,20211112,17,30.25,72.25,-8.848,-8.183142857142858,-0.6648571428571426,0.081,True
20211110_1227,20211110,17,20.5,69.5,-6.027,-5.151104000000012,-0.8758959999999885,0.0,False
20211102_0227,20211102,7,21.25,73.75,3.474,3.744860139860123,-0.2708601398601229,0.072,False
20211112_0227,20211112,7,31.5,66.5,-0.422,-0.7745424000000035,0.35254240000000353,0.324,False
20211115_0227,20211115,7,32.25,56.0,-1.26,-3.0606282352941174,1.8006282352941174,0.34,False
20211107_0227,20211107,7,39.25,66.5,13.004,9.982660000000001,3.0213399999999986,0.431,False
20211113_1227,20211113,17,31.5,65.5,-5.072,-3.7891935999999986,-1.2828064000000015,0.105,False
20211103_1227,20211103,17,37.5,69.75,5.851,0.7994990892531996,5.0515009107468005,0.971,False
20211111_0227,20211111,7,21.75,61.25,-0.593,-0.24387199999999212,-0.3491280000000079,0.0,False
20211113_1227,20211113,17,27.5,61.0,-2.167,-2.5320768000000005,0.36507680000000065,0.0,False
20211107_1227,20211107,17,36.75,68.0,0.949,0.738589371980675,0.21041062801932497,0.867,False
20211109_1227,20211109,17,29.25,62.0,-0.842,0.3000928,-1.1420928,0.1,False
20211101_0227,20211101,7,29.0,67.25,2.375,7.5491296000000006,-5.1741296000000006,0.105,False
20211101_1227,20211101,17,22.25,65.0,-4.701,-4.537390909090909,-0.16360909090909104,0.0,False
20211101_0227,20211101,7,34.0,72.25,15.669,15.795357819905213,-0.12635781990521266,0.289,True
20211110_0227,20211110,7,21.25,62.0,26.196,5.946013333333335,20.249986666666665,0.565,False
20211101_0227,20211101,7,21.75,57.25,-1.843,-1.850363636363634,0.0073636363636340185,0.058,False
20211107_0227,20211107,7,29.75,63.5,10.954,5.8991216,5.054878400000001,0.408,False
20211107_1227,20211107,17,23.5,58.75,-2.685,-1.8629056000000048,-0.8220943999999952,0.0,False
20211105_1227,20211105,17,39.25,62.0,0.264,-0.6200125000000003,0.8840125000000003,0.416,False
20211108_0227,20211108,7,35.75,71.0,10.408,17.496875728155338,-7.0888757281553385,0.562,False
20211105_0227,20211105,7,39.25,64.5,8.33,8.8028775,-0.4728774999999992,0.506,False
20211115_1227,20211115,17,39.25,69.5,-4.715,-6.40359635416667,1.6885963541666698,0.496,False
20211102_1227,20211102,17,26.25,64.0,4.54,-1.3708399999999994,5.910839999999999,0.204,False
20211113_0227,20211113,7,37.0,67.75,3.313,-0.2506129032258081,3.5636129032258084,0.284,False
20211108_0227,20211108,7,37.75,61.5,-3.747,-1.904514545454545,-1.842485454545455,0.408,False
20211104_1227,20211104,17,33.75,59.5,0.863,6.089563199999998,-5.2265631999999975,0.197,False
20211107_1227,20211107,17,34.25,69.25,1.748,-1.851724799999997,3.599724799999997,0.701,False
20211101_1227,20211101,17,30.75,71.5,-5.377,-4.341471243042671,-1.035528756957329,0.175,True
20211115_1227,20211115,17,32.25,56.25,11.484,5.768884444444446,5.715115555555554,0.948,False
20211108_1227,20211108,17,27.0,58.5,1.149,3.7195248000000007,-2.5705248000000007,0.0,False
20211109_0227,20211109,7,20.75,69.5,5.109,12.782447499999996,-7.673447499999996,0.051,False
20211107_0227,20211107,7,34.25,61.75,0.908,3.372681600000001,-2.464681600000001,0.741,False
20211112_0227,20211112,7,23.5,59.0,-2.848,-3.5806047999999935,0.7326047999999936,0.0,False
20211101_0227,20211101,7,27.25,63.0,-1.094,2.5852847999999975,-3.679284799999998,0.138,False
20211114_0227,20211114,7,36.25,68.5,32.813,9.328515297906604,23.484484702093397,0.971,False
20211115_1227,20211115,17,38.0,71.5,-4.348,-5.907567039106147,1.5595670391061471,0.484,False
20211109_0227,20211109,7,37.5,64.75,-5.261,1.3797773913043472,-6.640777391304347,0.46,False
20211109_0227,20211109,7,22.5,67.5,4.421,13.124946086956523,-8.703946086956524,0.02,False
